Question Text,Option 1 Text,Option 2 Text,Option 3 Text,Option 4 Text Answer
"A patient enters the clinic with what appears to be pinched nerves in the cervical spine area. The patient is reporting radiating symptoms into the left upper extremity that follow no particular dermatome pattern. The patient reports that he is going to have a test in which some type of electrodes are inserted into the muscle to test which nerves are injured. Based on this information, which of the following tests is the patient most likely having?",Arthrogram,Fluroscopy,Myelogram,Electromyogram
The brain is divided into three major divisions. Which of the following is not one of the three major brain regions?,Brainstem,Cerebrum,Cerebellum,Midbrain
A pregnant patient is advised to avoid the Valsalva maneuver during her pregnancy. What effect listed below does the Valsalva maneuver have?,Decrease intrathoracic pressure,Pressure remains the same,Increase in inspiration needs,Increases intrathoracic pressure
Which of the following cells has no nucleus?,Leukocyte,Monocyte,Phagocyte,Erythrocyte
The flexor withdrawal reflex integration level is spinal. Where would the stimulus be applied to test the flexor withdrawal?,Sole of the foot with lower extremity in flexion,Forefoot with the lower extremity in extension,Forefoot with the lower extremity in flexion,Sole of the foot with lower extremity in extension
You are testing the tonic labyrinthine reflex of a patient. You have positioned the patient supine. Which of the following would you consider to be a positive response to this position?,Increased flexor tone,Increased extensor tone in upper extremities and flexor tone,Increased flexor tone in upper extremities and extensor tone in lower extremities,Increased extensor tone
You are testing a patient for the negative support reaction. The integration level for the negative support reaction is the brainstem. You bounce the patient several times on the soles of the feet but you do not allow her to bear weight. Which of the following would you anticipate as the patient’s response?,Increased extensor tone in upper extremities,Increased extensor tone in lower extremities,Increased extensor tone in upper extremities,Increased flexor tone in lower extremities
You have a patient referred to physical therapy with cerebral palsy. Which of the following does not describe what you would typically observe in a cerebral palsy child?,The child may be either passive or stiff,The child cannot adjust the body position,The child may be classified as either spastic or ataxic,The child can hold or bring the head into a normal position
A physician informs you that he feels that the patient is pretending to be ill to arouse sympathy for his condition. He suspects that the patient is slow to recuperate because he continues to receive benefits from the insurance company during a slow recovery. Which of the following most likely describes this individual?,Patient is negligent,Patient is a hypochondriac,Patient is paranoid,Patient is a malinger
"A patient comes to physical therapy for further instructions on crutch ambulation. Upon observation you notice that the patient moves the left crutch first, then the right leg, then the right crutch, then the left leg. Of the following, which type of crutch gait have you most likely observed?",Three point gait,Swing through,Two point gait,Four point gait
A patient is referred to physical therapy several months post a second degree burn on the hip. The patient reports that he had an allograft over the burn area. Which of the following does this describe?,The graft skin is from an animal,The graft skin is from the same individual,"A surgical incision in the form of letter Z, the length of the graft",The graft skin is from the same species
You are performing a musculoskeletal examination of a patient’s thoracic lumbar spine. Which of the tests listed below would best determine if there is an impingement of the nerve in the thoracic lumbar root level?,Compression Test,Distraction Test,Straight Leg Raise,Slump Test
"You are performing a neurological evaluation on an ICU patient that has had a vascular injury. The patient has the following impairment: loss of consciousness, coma, no ability to speak, and hemiplegia. Based on this information, in which of the following areas does this vascular involvement occur?",Anterior cerebral artery,Middle cerebral artery,Posterior cerebral artery,Vertebrobasilar artery
"According to the Standards of Care, the initial evaluation should include all of the following except?",Diagnosis,Social and environmental needs,Functional status,Medication
You are evaluating a patient with a diagnosis of ankylosing spondylitis. The physician instructs you to evaluate the patient and determine an appropriate treatment program. Which of the following would be the best treatment program for this patient?,Rest and medication,Resistive exercises and stretching,Plyometric exercises,Resistive exercises and stretching
You are performing vascular testing on a 65-year-old female with peripheral vascular disease. The physician sends this patient to your department for evaluation and set-up of an appropriate treatment program. Which of the following tests would be the least important in evaluating this patient’s condition?,Rubor test,Girth measurements,Volumetric measurement,Deep pressure test
"You are performing an upper extremity evaluation on a patient with an injury to their left shoulder. You are evaluating the muscles that attach to the greater tuberosity of the humerus. In planning this patient’s treatment program, which of the following muscles would not be emphasized?",Supraspinatus,Infraspinatus,Teres Minor,Subscapularis
You have a 40-year–old female status post removal of the several lymph nodes the axillary region secondary to Stage 2 breast cancer. The physician wants you to work on edema through measurement for a pressure garment and lymphatic drainage massage 1-day post surgery. How should the technique be performed for best results?,You decide not to do massage but Jobst compression pump,Massage the distal segment first,Order a garment and check on the patient daily,Massage the proximal segment first
"A patient postoperative removal of the lymphatic system in the axillary region is very concerned about the cancer spreading. You read in her chart that there are metastases in her brain and spine. At the next treatment session she asks you if the surgery was successful. Since the physician is inaccessible, what do you tell her?",Inform her of the chart results,Inform her that you have no idea,Inform her of her results and next steps,Inform the patient she will have to wait for her sugeon
You have a 30 year-old male 2 days post hand laceration. The doctor orders paraffin treatments and range of motion. What should be the typical treatment temperature for paraffin?,30 Degrees Celcius,40 Degrees Celcius,55 Degrees Celcius,50 Degrees Celcius
"You are working at a hospital that has not approved the SOAP note format, but instead uses the DARP format. What are the four major components of the POMR format?","Subjective, treatment plan, assessment, prognosis","Subjective, laboratory test with physician medical history, assessment, prognosis for rehabilitation","Subjective, objective, progress, potential for rehabilitation","Subjective, objective, assessment, plan"
"In the hospital where you work, the policy states all notes must be written in the SOAP format. Your patient tells you that his chief concern is limited movement or loss of range of motion in the left shoulder. Where does this information go in the SOAP format?",Objective,Assessment,Plan,Subjective
This disorder affects bone formation and is transmitted as an autosomal dominant factor. The result is that the long bones of the limbs remain short. What is the medical name for this condition?,Osteogenesis imperfecta,Osteoblastoma,Fibrous Dysplasia,Achondroplasia
The chart review reveals a patient with a condition known as thyrotoxicosis. This condition is due to hyperthyroidism. The disease is characterized by an enlargement of the thyroid gland. What is not another more common name for this disease?,Grave's Disease,Primary Hyperthyroidism,Secondary Hyperthyroidism,Fibrous dysplasia
"You are given the description of a type of electrical stimulation as follows: medium- frequency current, approximately 4000 Hz, and four electrodes in a crossed pattern on the patient. What type of electrical stimulation is most likely being described?",Low-volt electric stimulation,High-volt electric stimulation,Russian stimulation,Interferential current stimulation
There is a special type of electrical stimulation whose primary purpose is to alleviate pain for a patient. There are minimal side effects and the patient can utilize this unit 24 hours a day. What is the name for this type of electrical stimulation?,Low-volt electric stimulation,High-volt electric stimulation,Russian stimulation,Transcutaneous electrical nerve stimulation
The hip joint involves several muscle groups for different actions. Hip abduction takes place with nerve innervation from the superior gluteal nerve. Which muscles include the hip abductor group?,"Psoas major, iliacus, sartorius","Gluteus medius, gluteus minimus, sartorius","Gluteus medius, gracilis, pectineus","Gluteus medius, gluteus minimus, tensor fasciae latae"
An athlete has injured their hip adductor muscles in a track race while jumping hurdles. The patient comes to the clinic with pain in the groin. Which nerves innervate the hip adductor muscles?,"Femoral, obturator","Femoral, superior gluteal","Femoral, obturator, superior gluteal","Femoral, obturator, inferior gluteal"
You are the medical staff member attending a soccer game and you see a player sprain their ankle. You notice that swelling is beginning but they insist on continuing to play. Which of the following modalities would not decrease swelling?,Ice massage,Cryo Pressure,Ice towel,Evaporative coolants
Which of the following modalities could be utilized to place chemical substances into the body with direct current to decrease inflammation?,Myoflex with ultrasound,Phonophoresis,Myophoresis,Ionotophoresis
You are working with a physical therapist student when performing short-wave diathermy on a 46-year-old female patient. You explain that this treatment is an example of heat transferred by energy. Which term listed below correctly identifies this type of heat transfer?,Conversion,Conduction,Radiation,Convection
"With regards to manual therapy, which of the following is not an example of manual therapy techniques performed by a physical therapist?",Grade-one mobilization,Grade-two mobilization,Grade-three mobilization,Grade-five mobilization
You have a patient reporting neck pain with a bulging disc at level C6-C7. During your assessment the patient tells you that they also have pain on their temporal-mandibular joint. The physician’s order is for cervical traction. What would be best for this patient?,Do not perform cervical traction secondary to medical history,Sitting cervical traction,Supine cervical traction with cervical spine pillow,Saunders cervical traction device
"You are treating a 30 year-old female with low back pain resulting from no apparent cause. You decide to set her up in traction with a hold period of 40 seconds, rest period 10 seconds, for 20 minutes at 60 pounds. What type of traction does this best describe?",Autotraction,Gravity lumbar traction,Manual traction,Intermittent mechanical traction
"Physical therapists may treat patients who are in the psychiatric ward of a hospital for a wide range of musculoskeletal conditions. The chart of this patient you are treating provides the following information: they exhibit psychotic behavior, are suspicious and rigid. What does this description most likely describe?",Psychopathy,Mania,Depression,Paranoia
"You are on rounds in the psychiatric ward as a physical therapist intern. You are given the following information on a patient: he is pessimistic, irritable, lacks self-confidence, and has a gloomy outlook on life. What would be the most likely diagnosis, or problem, this patient is experiencing?",Mania,Psychopathy,Schizophrenia,Depression
"The patient you are working with is a 25-year-old head injury patient from a motorcycle accident. The patient clinically demonstrates excessive tone in the limbs, which are resistant to both active and passive movement. Which term listed below would best describe this condition?",Flaccidity,Stiffness,Rigidity,Hypertonia
"You are teaching a spinal cord injury patient, proper pressure relief in a wheelchair. You explain that every 10 to 15 minutes he will need to provide pressure relief independently to prevent sores on the ischial tuberosities. What is the minimal level of injury this patient can have in order to be able to provide independent care for himself?",C4,C6,C3,C8
Your last patient of the day is a spinal cord injury patient whom you are teaching self- range of motion. You explain that this will be a very important component in the home program. What is the minimal level of injury this patient can have to perform self-range of motion independently?,C8,C5,C6,C7
"A 54 year old is injured in a skiing accident. The symptoms are paralysis and loss of sensation, except in the sacral area. What is the correct term for this injury?",Cauda equina injury,Central cord syndrome,Brown-Sequard syndrome,Sacral sparing
"A 35 year old is injured in a trampoline. The symptoms include a loss of bladder control, and fine control of movements in the arms with relatively less impairment on the leg movements. What is the correct term for this injury?",Cauda equina injury,Sacral sparing,Brown-Sequard syndrome,Central cord syndrome
An 80 year old is injured in a ground level fall. The symptoms include low back pain and urinary retention. What is the correct term for this injury?,Central cord syndrome,Sacral sparing,Brown-Sequard syndrome,Cauda equina injury
"A 77 year old is injured in a motor vehicle accident. The symptoms of weakness appear on the left side, and loss of sensation on the right side. What is the correct term for this injury?",Central cord syndrome,Sacral sparing,Cauda equina injury,Brown-Sequard syndrome
An 8 year old boy presents to the clinic with hip flexion contractures. The contractures are secondary to fibrosis where the skin is bound down to the tissue. The physician states that the patient has chronic inflammation of the connective tissue. What is the name of this medical condition?,Chronic contractures,Fibrositis,Myositis,Scleroderma
"You are performing a postural evaluation of a corporate patient from a saggital view. Specifically determining alignment for the head, scapula, and shoulder, which of the following is normal alignment?","Head neutral, scapula depressed, shoulders neutral","Head forward, scapula flat, shoulders neutral","Head hyperextended, scapula winged, shoulders neutral","Head neutral, scapula flat, shoulders neutral"
A spinal cord patient 2 weeks post injury is referred to physical therapy for assessment and prognosis for rehabilitation. What muscle grade in the lower extremity is necessary for functional performance by this individual?,Fair,Good minus,Poor plus,Fair plus
"You are to perform a manual muscle test on a 30 year old soccer player with hip pain. The patient can perform full range of motion in supine position for hip adduction/abduction. Using this information, what would you determine this patient’s muscle grade to be?",Trace,Zero,Fair,Poor
"You are instructed to perform manual muscle testing on a L3-L4 spinal cord patient, who is a 30 year-old male and quite uncooperative. Which of the following considerations is not important?",Informing the patient of what you will be doing,Stabilizing the proximal part,Lining up the origin and insertion,"Testing bilaterally, starting with the injured side first"
"Several types of contraction may take place with an individual muscle or muscle groups. Of the following, which is referred to as the muscle group whose contraction is considered to be the practical agent in producing a joint motion?",Antagonist,Concentric,Eccentric,Agonist
Which physics law can be interpreted clinically to mean that the further the infrared light the greater the decrease in intensity will be?,Joule’s law,Ohm’s law,Relativity,Inverse Square Law
"You are requested to treat a 45 year-old male in the neurointensive care unit from a motorcycle accident. You find the following results on the patient: no voluntary movement, unresponsive to stimulus, no reflexes, and positive Babinski response. Which most likely describes this patient’s condition?",Cerebrovascular accident,Sedated patient,Stupor,Coma
"A patient is sent to physical therapy with psoriasis, and the physician orders a third- degree erythemal dosage on the patient. Approximately 3 to 4 days. The patient has slight edema with marked peeling and severe itching. What would be the approximate treatment frequency for this patient?",Twice weekly,Three times weekly,Four times weekly,Once a week
In this exam the scores are going to be compared to standard deviation of the mean. What percentage of candidates taking this examination would you expect to score within plus and minus one standard deviation of the mean?,70%,72%,45%,68%
It is important to be ethical when performing a research study. Which of the following should take place first for a study to be ethical?,The patient should be informed that he or she has the right to terminate the experiment at any time,The patient should be debriefed following the experiment,The end results of the experiment should be explained to the patient,The patient should sign the informed consent document
"You are treating a mountain biker that opted not to have ACL reconstruction, which of the following would be the most appropriate exercise to initiate in the beginning stages of rehabilitation?",Full-range isokinetics for knee flexion and extension,Straight leg raises times six repetitions with maximal weight,N-K table full range of motion times six repetitions with maximal weight,Stair machine
"You are providing medical coverage for a high school football game. During the course of the game, one of the football players is knocked down on the field. You rush out to his side and determine that the player is unconscious. What is the first thing you should do in examining the unconscious athlete?","Check breathing and, if breathing is impaired, clear the airway and proceed to give mouth-to-mouth resuscitation if necessary","Start with the head and determine first if there is any bleeding or fluid coming from the nose, ears, eyes or mouth",Check for shock,"Since the player is unconscious have someone call 911, then proceed to check the airway, breathing, and pulse"
You have orders to discharge an inpatient post-op total knee replacement. Which of the following personnel would you contact first to start planning discharge from the hospital to home? ,Occupational Therapist,Patient's family,Home health nursing,Social worker
"You are on the medical team for an ultra-trail race that is 30 km over 3 km of elevation. At one of the stations a runner at the resting station presents severely dehydrated and, with exposure to the severe heat, goes into shock. Which of the following is the first step that should be taken?","If available, oxygen should be administered",Body position should be arranged with the head and the trunk higher than the limbs,Body temperature should be reduced by placing a cold towels or cloths on your colleague,First check for any wounds to see if bleeding is present
"You are treating a C6 spinal cord injury patient. In planning the treatment program, which of the following muscles would you most likely emphasize?",Biceps muscle,Neck musculature,Scapula musculature,Pectoralis Major
"A patient has the following: muscle twitching and cramping in the lower calf, spasms in the gastrocnemius muscle, and heavy sweating. Which of the following heat disorders is this patient most likely experiencing?",Heat stroke,Heat exhaustion,Dehydration,Heat cramps
You are assessing a patient's symmetrical tonic reflex. You provide the test stimulus by flexing the patient's head. Which of the following best describes a positive reaction to this test stimulus?,The arms will extend and the legs will flex,The arms will flex and the legs will flex,The arms will extend and the legs will extend,The arms will flex and the legs will extend
In the hospital you are treating a 30 year old patient with burns on the left anterior arm and left anterior leg. You have scheduled sterile whirlpool debridement and preparation of dressings for this patient. What would be the specific value for the percentage of burns suffered by this patient?,4.5%,9%,18%,13.5%
You have orders to see patient with a fracture at the level T10 to L1. The physician recommends a rigid high back brace for stabilization. Which of the following braces would be most appropriate to plan for this patient?,Lumbar corset,Taylor brace,Jewett brace,Knight-Taylor spinal brace
A child who has suffered burns on the left arm and left leg presents to the hospital. Which of the following specific values would correctly describe the percentage of the body burned?,13.5%,18%,36%,23%
"You are treating a patient for osteoarthritis with left wrist pain. Which of the following braces is appropriate for this patient?
",A wrist cock-up splint,A wrist splint static,An ulnar/radial gutter,A resting hand splint
You are seeing a baseball player with a brachial plexus injury. The physician has ordered that a brace or splint be used to protect the patient and promote healing. Which of the following would be appropriate protection?,Shoulder slight,No bracing but active exercises,Elbow splint,Shoulder splint
"You are analyzing the gait of a patient with a prosthetic. In evaluating the gait, you notice that the socket has a poor fit and appears to have a weak suspension system, and the knee friction is too soft. What gait pattern do you expect?",Lateral whip,Rotation of the foot at heel strike,Instability of the knee,Pistoning of the socket
You are assessing the gait on a lawyer who has injured his right lower extremity. When ambulating he takes a short step to transfer weight to the uninjured side as quickly as possible. Which of the following types of gait would best describe this patient's symptoms?,Steppage gait,Drop foot,Circumducted gait,Antalgic gait
"You are providing an education lecture on repetitive motion injuries are commonly seen in the office place. To assist in decreasing repetitive injuries within this company, which of the following would be the most important concept to emphasize first?",Instruct the employees in strengthening exercise,Provide the company with isokinetic testing and the results on each employee,Provide posters on proper body mechanics,Instruct the employees in proper warm-up procedures
You are assessing a patient with a burn on the olecranon. The patient has a low pain tolerance and was admitted to the hospital in the early morning. Which of the following would be the most appropriate treatment program?,Active range of motion emphasizing flexion,Whirlpool,Active range of motion emphasizing extension,Passive range of motion emphasizing extension and positioning of the elbow in full extension
"In providing chest physiotherapy, which of the following positions is most appropriate for the right middle lobe?","Patient is sitting in the chair leaning forward approximately 20 to 30, resting on pillows","Patient is in prone position, rotated one-half turn upward, with the bed elevated 18 inches and chest tilted 20",Patient is prone with pillows under the stomach,"Patient is in left side lying position rotated backward one-half turn, with the bed elevated 14 inches"
You are treating an inpatient post-stroke The patient is to return home in approximately 2 weeks and you are working on transfers into and out of a vehicle. Which of the following would be the most approrpriate in his rehabilitation?,You have a modified vehicle within the rehabilitation program. Have the patient practice transfers into and out of that vehicle.,Instruct the patient that he or she will be returning home in 2 weeks so it is extremely important to concentrate on transfer techniques and cooperate 100% with you.,Obtain a handicapped parking permit for this patient.,Notify the patient's family that the patient will be leaving the hospital in 2 weeks. Request that they come in to learn how to perform transfers into and out of a vehicle.
"You are assessing a stage-three decubitus ulcer of a patient, which of the following would be the least important to note in the progress notes?",The size of the wound,Temperature,Drainage and color,Hip range of motion
You are implementing an exercise program for a patient who is rehabilitated after a left shoulder impingement. Which of the following would you implement in a treatment program to assist in instructing him or her in functional training and carryover?,Isokinetic movements,PNF movements,Isotonic movements,Functional movements
In performing IPPA on a patient you observe percussions sound dull and there is wheezing and crackles upon auscultation. These clinical signs are most likely associated with which of the following lung pathologies?,Atelectasis,Pneumonia,COPD,Pulmonary Edema
The cardiologist refers the patient to physical therapy for you to implement a treatment program for cardiac rehabilitation after 3 days bypass surgery. Which of the following treatment programs would be appropriate for this patient?,Lower extremity ergometry x 15 minutes,Lower extremity ergometry x 30 minutes,Upper extremity ergometry x 15 minutes,Ambulating 200m in a 5-minute period with no EKG changes or changes in symptoms
You are assessing a neurological patient. You move the patient's extremity through a predetermined range of motion. This motion is elbow flexion and extension. Then the patient is requested to repeat the movement on her own. Which of the following are you most likely performing on this patient?,Kinesthesia,Barognosis,Graphesthesia,Proprioception
A 30-year old female 8 days post cesarean delivery has been referred to you for training in proper posture and body mechanics. Which of the following would be the proper instructions for body mechanics for a post cesarean patient?,"Whenever sitting, the patient should avoid hard chairs because they have poor back support","When standing, the patient should relax the abdominal muscles in order not to place any strain upon them","When bending over, the patient should keep a flattened lordotic curve in the low back with a wide base of support and legs parallel","When getting up from a lying-down position, the patient should roll over to the side, swinging the legs over the edge and getting up slowly."
"You are treating a patient complaining of lower thoracic pain. Upon palpation you notice no significant structural or muscular problems. You decide to test the patient's reflexes, particularly the upper abdominal reflex. Which of the following levels are you testing?","Thoracic 5, 6, 7","Thoracic 10, 11, 12","Thoracic 9, 10, 11","Thoracic 8, 9, 10"
You are treating an office worker with Bell's Palsy. The patient relates that he had been driving for 3 days continuously for periods of 12 to 14 hours on the road. The patient reports that he kept his window rolled down so that he could get fresh air to keep his eyes open. What type of treatment program listed below would be most effective for this patient?,High-volt electrical stimulation,Facial massage,TENs,Direct current stimulation on the motor points
You are performing an in service on proper body mechanics to a group of physical therapist assistants. Which of the following best describes the domain in education that deals with motor skills?,Cognitive,Affective,Perceptive,Psychomotor
You are treating a pediatric patient with cystic fibrosis who suffers from excessive secretions. Which of the following would you implement for an appropriate treatment program for this patient?,Breathing exercises,Postural Drainage,Chest physiotherapy,Breathing exercises and postural drainage
When treating a patient for hip pain you notice that they demonstrate a capsular pattern in the hip. Which of the following best describes the capsular pattern that this patient most likely demonstrates secondary to an inflammatory process of the hip?,"Internal rotation, flexion, abduction","Extension, abduction, internal rotation","Flexion, adduction, internal rotation","Flexion, abduction, internal rotation"
You are initiating a treatment program for a patient emphasizing equilibrium coordination. Which of the following tests would be important to evaluate equilibrium coordination?,"Have the patient perform finger-to-nose, finger-to-finger test, and evaluate the quality of movement",Test the patient's ability to judge distance and speed of movement by drawing a circle,Evaluate the quality of movement control and speed with the patient pointing,Observe the patient's posture while the body is in motion
"You are treating a 21 year-old male diagnosed with chondromalacia of the left patella The patient is very active and participates in football, basketball, and baseball. Of the following, which exercise would you implement in this patient's treatment program?",Short arc quads,"Isokinetic, limiting extension to -30",Exercise bike,Straight leg raise
A neuro patient is referred to you for sensory testing. The attending physician has requested that you evaluate the protective sensations of the patient and implement a treatment program to enhance them. Which of the following would be the most appropriate test to perform on this patient?,Deep pressure,Proprioception,Two-point discrimination,Light touch
You are treating a patient with Down's syndrome. Which of the following treatments should be implemented in this patient's physical therapy program?,Range of motion,Aerobic exercise,Mobility exercise,No specific therapy is necessary for this patient
A patient is complaining of left shoulder pain on the glenohumeral joint 8 weeks post heart surgery. You wish to increase abduction of the shoulder for this patient. Which of the following would be the correct mobilization technique?,Posterior glide,Anterior glide,Superior glide,Inferior glide
You are treating a neuro patient according to the theories of Brunnstrom. Which of the following would be an appropriate treatment emphasis according to Brunnstrom?,Patient should learn diagonal pattern of movement,Do no reinforce abnormal patterns of movement,Do not use associated reactions,Limb synergies are a necessary intermediate stage of recovery and the patient should be encouraged to use limb synergies patterns
You are assessing a neuro patient with an arterial occlusion in the brain. The patient demonstrates ataxia with severe coordination problems. Which of the following arteries has most likely been occluded in the brain?,Vertebral Artery,Middle cerebral artery,Posterior cerebral artery,Cerebellar artery
"You are planning the treatment program for a patient who is referred to physical therapy with Huntington's chorea. This is a hereditary disease that is characterized by irregular movements and tremors. In planning this patient's treatment program, which of the following could a licensed physical therapist perform?",Utilize postural exercises and balance activities,"Advise the patient that there is no treatment; therefore, you are sorry but you cannot help him",Advise the physician to prescribe medication to slow down the disease,Call the family and suggest family education regarding the disease also contact the social worker for involvement
You are creating an orthotic for a patient with a left tibialis posterior tendinopathy. The patient will require a longitudinal arch for support and to protect the irritated tissue. Which of the following shoe modifications would be most likely to be prescribed for this patient?,Metatarsal Bars,Thomas Heel,Rocker Bottom,Scaphoid Pads
"You are referred a patient with heterotopic bone growth in the quadriceps muscle. X-rays have revealed that the growth is active and the diagnosis on the script is myositis ossificans. The order is ""evaluate and treat."" Which of the following treatment programs would be most appropriate for this patient?",Heat therapy and aerobic exercise,Aerobic exercise,Heat therapy,Rest
You are referred to a patient who is one day post-cesarean delivery. Which of the following would not be an appropriate exercise program on day 1?,Diaphragmatic breathing,Huffing,Pelvic floor exercises,Leg slides
"You are treating a patient referred from the psychiatric ward to physical therapy for exercise to alleviate his anxiety. When in the clinic the patient becomes withdrawn. The patient occasionally shifts from withdrawal into obscene language, demonstrates very bizarre behavior, and seems to have problems cooperating with physical therapy. Based on these symptoms, which of the following most likely describes the condition of this patient?",Paranoia,Depression,Psychopathy,Schizophrenia
"A spinal cord patient is referred to physical therapy with a pressure wound on the lateral malleolus of the right ankle. In implementing this patient's treatment program, which of the following UV lamps are appropriate for this?",Ultraviolet Lamp,Hot mercury lamp,High-pressure mecury vapor lamp,Low-pressure mecury vapor lamp
While performing a musculoskeletal reassessment on a patient you particularly note the end-feel of the glenohumeral joint which is like hard leather. There is full normal range of motion of the shoulder with a slight give at the end. Which of the following best describes the end-feel of this particular patient?,Bone-to-bone end-feel,Empty end-feel,Springy block end-feel,Capsular end-feel
You are treating a patient with an ulnar nerve injury on the right hand. The patient is very motivated with rehabilitation and anxious to be aggressive in physical therapy. Which of the following muscles are you going to emphasize with this patient in physical therapy?,Pronator quadratus,Flexor digitorum superficialis,Flexor digitorum profundu,Flexor carpi ulnaris
"A 56-year old patient has an injury to the brachial plexus as a result of a snowmobile accident. Muscle testing shows the patient has a fair minus grade of rhomboids, levator scapulae, and serratus anterior. The physician has determined that the patient has injured the dorsal scapular and long thoracic nerves. Which of the following best describes the origin of injury to the brachial plexus?",From the trunks of the plexus,From the lateral cord of the plexus,From the medial cord of the plexus,From the rami of the plexus
A patient is a 32-year old tennis player with a shoulder injury. You are palpating the external rotators of the shoulder. You are palpating the muscle to determine if tenderness or edema exists. The ideal position for palpation of this muscle as it relates to the joint could best be described by which of the following?,Closed-packed position,20 degrees of abduction,90 degrees of abduction,Loose-packed position
"You are assessing a patient's functional status post cerebrovascular injury. Upon evaluation you note that the patient has the following characteristics: paralysis and weakness on the right side, motor apraxia, and a decreased discrimination between left and right. These symptoms describe which of the following?",Brainstem Injury,Right hemisphere injury,Cerebellar injury,Left hemisphere injury
The physician has ordered electrical stimulation to stimulate a denervated supinator muscle. Which of the following types of electrical types of electrical current would you most likely select to meet this treatment objective?,Alternating current,High-volt current,Interferential stimulation,Direct current
You are performing goniometric measurement of the shoulder for external rotation. How should the stationary arm of the goniometer be positioned to appropriately measure this patient?,Parallel with the shaft of the ulna,Parallel with the styloid process,Parallel over the shaft of the humerus,Parallel to the midline of the floor
With regards to pelvic traction for a patient with a discogenic pain of the L4/L5 segments which of the following percentages would cause distraction of the vertebral bodies with lumbar traction?,30% of the patient's body weight,60% of the patient's body weight,25% of the patient's body weight,50% of the patient's body weight
A physician has prescribed iontophoresis for a patient with acute inflammation. The chemical ion to be utilized in this case by direct current should be negative. Which of the following chemical ions listed below would be appropriate to use for a negative current?,Cortisone,Lidocaine,Vancomycin,Salicylate
You are creating a treatment program for a powerlifter that partially tore his quadriceps muscle during a squat You are interested in performing an eccentric contraction for strengthening. Which of the following exercises would be most appropriate for this patient?,Isokinetics,Snatching,Accelerating the lifting on initiation of movement.,"Lowering a weight during a hard press, performing a negative repetition"
You are practicing in a rural setting and supervising a physical therapist assistant. You will be off for 1 day to attend a continuing education course on preventing low back pain in OB/GYN patients. The assistant will be able to practice all except?,Carrying out treatment programs,Talking to nursing staff,Writing progress notes,Evaluating inpatients
You are performing a respiratory assessment on a patient for a chest physical therapy program. When reading the chart you are looking at the values of testing performed by the respiratory therapist. One of the particular values that you note is the amount of air that can be forcibly expired by the patient after maximum inspiration. What does this value represent?,Vital capacit,Expiratory reserve volume,Functional residual volume,Forced expiratory volume
Which of the following would occur during aerobic exercise in cardiac rehabilitation?,Cardiac output decreases,Stroke volume decreases,Tidal volume decreases,Resting heart rate decreases
You have determined that treating a neurological patient with an exteroceptive stimulation technique would be quite effective in the inhibition of muscles that are extremely spastic. Which of the following techniques listed below would be best in inhibiting the muscles?,PNF stretching,Sauna,Quick icing,Prolonged icing
You are performing mobilization on a patient to decrease pain and increase range of motion. It is the patient's first time in the rehabilitation department and you thoroughly explain what to anticipate from the mobilization. You begin by mobilizing the involved side first and comparing it to the uninvolved. Which of the following would not be an absolute contraindication to performing mobilization on this patient?,Acute fracture,Active infection,Active inflammation,Hypermobility
"In implementing a prenatal care program for a patient, which one of the following elements may not be included in her physical therapy regimen?",Relaxation training,Kegel exercises,Activities of daily living modifications,Valsalva's maneuver
You are treating a patient who has suffered a second-degree lateral collateral ligament injury. The patient injured the knee as a result of a medial hit during a football scrimmage. The patient is currently 2 days post injury. Which of the following is the recommended treatment for a second- degree medial collateral ligament injury?,Whirlpool for range of motion,Exercise bike x 15 minutes,"Swimming x 20 minutes, flutter kick only",Crutch ambulation with toe touch weight bearing
"You are implementing a treatment program for a 26-year-old female who is approximately 2 months away from delivering a baby. The patient has been sent to the clinic for low back pain. In implementing a treatment program, which of the following exercises would not be appropriate for this patient to perform.",Diaphragmatic breathing,Postural instructions,Pelvic floor exercise,Partial curl-ups
"You are treating a spinal cord injury patient with the following functional outcomes: vital capacity is 80%, patient is independent with floor to wheelchair transfers, and patient can perform gait with bilateral KAFO and a walker. Based on this information, which of the following is probably the level of lesion of this patient?",T6-T8,T1-T5,L2-L5,T9-T12
"You are a physical therapist student who is studying the classes of levers in kinesiology. The instructor describes one class of lever in the following way: a common example is a seesaw, or in the body the example would be the atlanto-occipital joint. With the information given above, which of the following is most likely the class of lever described?",Fourth-class lever,Third-class lever,Second-class lever,First class lever
You are preparing to perform chest vibration on a neonate due to increased secretions. Which of the following would be a contraindication to performing vibration?,Persistant fetal circulation,Increased irritability during treatment,Bradycardia,Intolerance to treatment as indicated by low TcPCO2 values
You are treating a patient for a lower limb deformity. Ytou observe hat the distal aspect of the tibia is rotated or twisted medially as compared with its proximal end. Which of the following would best describe this condition?,Anteversion,Retroversion,Genu valgum,Internal tibial torsion
A physician has ordered whirlpool and debridement to assist in the healing process of a patient with a 2-day-old wound injury. The patient has inflammation as a result of the injury. The layered skin that has been damaged is composed largely of fibrous connective tissue. The nerve fiber and blood vessels are located in this area. Which layer of the tissue has been damaged based on the above description?,Subcutaneous layer,Reticular layer,Epidermis,The dermis
